"cov_id","cancer","n_samples","beta_mean","beta_sd","beta_q025","beta_q500","beta_q975"
"8.2","SKCM",200000,0.00833205342350106,0.0409003185033832,-0.0181129062435442,0.00203854341484533,0.135845993689585
"8.2","STAD",200000,0.00172925821824508,0.0214158908229746,-0.019536496384201,0.000531256273706792,0.0219498983016411
"8.2","TGCT",200000,0.00275594827101001,0.0676914346893815,-0.0220486330235884,7.04201638025744e-05,0.0245100970487629
"8.2","THCA",200000,0.00357405060574753,0.0413497480050788,-0.020364755865831,0.000495243592097491,0.0243054008260806
"8.2","THYM",200000,0.0125280482488761,0.0845877306782596,-0.0203008968241393,0.000736069718075358,0.209079797100391
"8.2","UCEC",200000,-0.00186435293469572,0.0209355096048816,-0.0223270429780042,-0.000585389308047864,0.0195304835160947
"8.2","UCS",200000,0.00214834529865686,0.0422525538750385,-0.0209376264274994,0.000230937738380762,0.022969257216526
"10.1","ACC",200000,-0.0227461447657511,0.112453314027729,-0.422514229120773,-0.00103666820328916,0.020797536329385
"10.1","BLCA",200000,0.00100651182136603,0.0205186187602614,-0.020513482127254,0.00035056410776773,0.0223921782935327
"10.1","BRCA",200000,0.00171053806538219,0.0183165434889751,-0.019308155442576,0.000741325238539342,0.0225732363574519
"10.1","CESC",200000,0.00596804369083326,0.04707255607183,-0.0201439842737918,0.000752421183192097,0.0598026859783342
"10.1","CHOL",200000,0.0357084023374884,0.176015748495038,-0.0218019262546584,0.00101905007008218,0.630089673389948
"10.1","CORE",200000,-8.51427675738346e-05,0.0200483231413523,-0.0212778302534477,2.44271150453652e-06,0.02132609984328
"10.1","DLBC",200000,-0.0177601972928871,0.130840555216578,-0.393159748385681,-0.000540975787425148,0.0237531590070104
"10.1","ESCA",200000,-0.0305926982041766,0.113470589266897,-0.449481918066294,-0.00189044804520833,0.0191682185514147
"10.1","HNSC",200000,-0.000353710309120875,0.0229420274949545,-0.0217131756772577,-4.59051081874893e-05,0.0211920690790551
"10.1","KICH",200000,-0.00618516222119044,0.0692368886513064,-0.0988514502717316,-0.000340584161798316,0.0224323655308884
"10.1","KIRC",200000,-0.000509842244859407,0.0159958453297602,-0.0212681982271388,-0.000279450016808652,0.020303294493734
"10.1","KIRP",200000,0.00144894539446879,0.0347029741570135,-0.0216078160137915,0.000263096260422936,0.0237403569055266
"10.1","LIHC",200000,-0.072825641724515,0.151831630139055,-0.503130913846105,-0.00508647201904915,0.0169965154273517
"10.1","LUAD",200000,0.00116453361513478,0.0189656806470303,-0.0201543764729981,0.000485016999369316,0.0220538376446694
"10.1","LUSC",200000,0.00100253938892815,0.0198723040524124,-0.020379669165758,0.000347799692147939,0.0222702594944446
"10.1","MESO",200000,0.00619551094202602,0.0536153064602647,-0.0209997619561793,0.000638406240317654,0.09012757663768
"10.1","OV",200000,0.0159892632470668,0.0642749913360654,-0.0182720304952748,0.00219261504185657,0.258616729109021
"10.1","PAAD",200000,0.0104872148156318,0.0621370729517887,-0.0199454944729117,0.00105237470927621,0.19308835136225
"10.1","PCPG",200000,-0.0351342869790671,0.169517403742452,-0.627750769702814,-0.00103805811296291,0.0214319775722294
"10.1","PRAD",200000,0.011997716037206,0.0787488850376918,-0.0206120844682066,0.00075802671619116,0.223506438077215
"10.1","SARC",200000,-0.0323586030011981,0.0929889548131417,-0.353339523670733,-0.00339921522695934,0.0174006283296769
"10.1","SKCM",200000,-0.000355196846536402,0.0199217228450345,-0.0216739357367842,-0.000146067404377525,0.0208964416857773
"10.1","STAD",200000,0.00402389699775848,0.0329608953636091,-0.0198440687312448,0.000906236762658584,0.0280780238144692
"10.1","THCA",200000,0.0053507674825655,0.0474992284123415,-0.0207492386706551,0.000587556671873232,0.0520793355572907
"10.1","THYM",200000,-0.00248296914622837,0.0585683141024494,-0.0273322649418,-0.000105115570664363,0.0233054604421341
"10.1","UCEC",200000,0.000162412585610605,0.0187766441184212,-0.0207695210682276,8.87198195110662e-05,0.0211465051554936
"10.1","UCS",200000,-0.00113837685588564,0.0455286599556022,-0.0244058206510428,-8.70144752549057e-05,0.0229685491119616
"1.1","ACC",200000,0.0479157447915299,0.158627075605155,-0.0469838789807649,0.00201316070188827,0.571538860472364
"1.1","BLCA",200000,0.00423504236447801,0.037408363517474,-0.0250403124040978,0.000517966538892768,0.107098912615195
"1.1","BRCA",200000,0.0413401596093995,0.0878216037161731,-0.0176563476335205,0.00507368883854637,0.298428063784788
"1.1","CESC",200000,0.00779196569330633,0.0643227796783723,-0.0549627341611963,0.000557445388805958,0.20282373607695
"1.1","CHOL",200000,0.0186778925159162,0.148668954742233,-0.238047226079172,0.000715498617650957,0.461552786300192
"1.1","CORE",200000,-0.000763975879629714,0.0378779799143583,-0.0691961567828191,-0.000290775326179219,0.0508003107363458
"1.1","DLBC",200000,0.0709027390039306,0.216329034312491,-0.0932278137727953,0.00240596606023833,0.751347364646031
"1.1","ESCA",200000,0.0134898255864878,0.0692781866697596,-0.0276717737748351,0.00106198525178878,0.24926131120758
"1.1","HNSC",200000,0.0180338076281661,0.0652360183955943,-0.0210086308599368,0.0019788381928147,0.245327090805562
"1.1","KICH",200000,0.0798383102030394,0.207511279442413,-0.0288280806928053,0.00316198001742499,0.723410485009424
"1.1","KIRC",200000,-0.00997122055943003,0.0538956478816721,-0.196325462791027,-0.00124509235968766,0.0256768044269746
"1.1","KIRP",200000,0.0150646051247035,0.0986997015220298,-0.118480746713891,0.00062191022453403,0.336878251877926
"1.1","LGG",200000,0.0184028165184682,0.070553621073966,-0.023708668000029,0.00167903877765613,0.26579755667734
"1.1","LIHC",200000,0.118772933054069,0.190343046709252,-0.017826331142487,0.00781862988860815,0.589611189375905
"1.1","LUAD",200000,0.0568189494738807,0.109078523869667,-0.0173436190457898,0.00599780539974192,0.359156864666934
"1.1","LUSC",200000,0.0032011315930765,0.033600559729151,-0.0253733488809083,0.000410049774577433,0.0870021977987985
"1.1","MESO",200000,0.0223160135807696,0.093162509583854,-0.0299182899691176,0.00146884199888606,0.341638303513757
"1.1","OV",200000,-0.0100547058803145,0.0469203793254276,-0.172795792189393,-0.00159458393985037,0.0217965347657395
"1.1","PAAD",200000,0.020213439474331,0.0839738025732385,-0.0255660145527599,0.00151432243153366,0.311886350371718
"1.1","PCPG",200000,0.100058773681075,0.251470834907532,-0.038214572315914,0.00326872010932693,0.868424238107455
"1.1","PRAD",200000,0.0047929019212325,0.118976689454936,-0.261793490366688,0.000223139720434776,0.323838157481971
"1.1","SARC",200000,0.233150046115038,0.225891479112003,-0.0140926451412507,0.240272458304594,0.65690969893278
"1.1","SKCM",200000,0.164837355234645,0.175440757295686,-0.0141482967772909,0.128838154878361,0.510598554585095
"1.1","STAD",200000,0.00753282878119048,0.0475402484138349,-0.0252037873173341,0.000834961700100515,0.161344449136816
"1.1","TGCT",200000,-0.0846584257620697,0.223291410651637,-0.781857651073149,-0.00329589434364707,0.0333733154279724
"1.1","THCA",200000,0.0407259397022384,0.129665204133753,-0.0246161657454459,0.0021489889912758,0.477296467828332
"1.1","THYM",200000,0.0213507453509749,0.127007588070397,-0.154926339334777,0.000929266216445481,0.423145915229224
"1.1","UCEC",200000,0.0223049637634124,0.0692202985836272,-0.0196353362710776,0.0026670116149109,0.262365672018368
"1.1","UCS",200000,0.0327284160751747,0.121065685589395,-0.0310372546505674,0.00171929227848526,0.443669685182556
"20.1","ACC",200000,-0.121650995640053,0.289810101876834,-1.00535752035124,-0.00367434610048084,0.0243733499783039
"20.1","BLCA",200000,-0.0890165421457689,0.138466642100069,-0.419702679658949,-0.00868765148029135,0.0160166947536621
"20.1","CESC",200000,0.029494916747971,0.0987049728305353,-0.0215410124912934,0.0022701439275955,0.367273084669111
"20.1","CHOL",200000,0.0264664009360321,0.163055653627027,-0.190288513475797,0.000872918420205067,0.525128997041339
"20.1","CORE",200000,-0.0586232121851291,0.119565591368802,-0.390411237840069,-0.00492946989224154,0.0185283641780535
"20.1","DLBC",200000,0.4407549280298,0.525265603266938,-0.0173895907165917,0.184946787663603,1.62241416259721
"20.1","ESCA",200000,-0.00562252054333055,0.0887541747818351,-0.228500803014963,-0.000352453093904955,0.131094867662563
"20.1","HNSC",200000,-0.0305245530937394,0.0871198653479309,-0.321333257905264,-0.00295542044238525,0.0196969530994468
"20.1","KICH",200000,-0.0358552929708904,0.14308604759049,-0.520607093112837,-0.00155247282800622,0.0590271571086789
"20.1","KIRP",200000,-0.0363982143236202,0.114604614127615,-0.429198338881889,-0.00232651510154687,0.0217975306827872
"20.1","LIHC",200000,0.00182318752164277,0.0346273307450325,-0.0291992347880189,0.000284076102293021,0.0694919894395564
"20.1","LUAD",200000,-0.00757652714891128,0.0407026432624129,-0.138443564636087,-0.0012417713054937,0.0212102549958392
"20.1","LUSC",200000,-0.00720167833326523,0.0387036778927679,-0.133084048739934,-0.00130941728034894,0.0213001019550443
"20.1","MESO",200000,-0.0239371986742656,0.0987025164409904,-0.361260038394921,-0.00159800784737068,0.0262899594207861
"20.1","OV",200000,-0.00677073461721146,0.043289349643323,-0.141995701633814,-0.000950239709508471,0.0234372307459636
"20.1","PAAD",200000,0.0356458830522169,0.116070813139233,-0.0218436184078821,0.00233189497859983,0.42417809711853
"20.1","STAD",200000,-0.0438706870056467,0.102417194798145,-0.356312161310766,-0.00423361864210509,0.0184295558923862
"20.1","TGCT",200000,-0.00501269749838586,0.129836866004465,-0.33817932124874,-0.000197920799418199,0.263851538727208
"20.1","UCEC",200000,-0.0089764419930282,0.046152662474305,-0.164623585025462,-0.00128279189888807,0.0221320748151889
"20.1","UCS",200000,-0.0071944855753172,0.0734933494721572,-0.219697418593213,-0.000532718469178143,0.0837517972051913
