"cov_id","hierarchy","group","n_cancers","group_mean","within_group_sd","within_group_range","sign_agreement","cancer_list","cancer_betas"
"20.1","germ/3b_mid","Hindgut endoderm",1,-0.0586232121851291,NA,0,1,"CORE","CORE=-0.059"
"20.1","germ/3b_mid","Hematopoietic mesoderm",1,0.4407549280298,NA,0,1,"DLBC","DLBC=0.441"
"20.1","germ/3b_mid","Lateral plate mesoderm",3,-0.0133693754142037,0.00919527098625073,0.0167427130989484,1,"MESO,UCEC,UCS","MESO=-0.024; UCEC=-0.009; UCS=-0.007"
"20.1","tissue/1b_11bin","Endocrine",1,-0.121650995640053,NA,0,1,"ACC","ACC=-0.122"
"20.1","tissue/1b_11bin","Male repro+bladder",2,-0.0470146198220774,0.0593996881959058,0.0840038446473831,1,"BLCA,TGCT","BLCA=-0.089; TGCT=-0.005"
"20.1","tissue/1b_11bin","Gynecological",4,0.00163831364060354,0.0185956429344273,0.0384713587409992,0.25,"CESC,OV,UCEC,UCS","CESC=0.029; OV=-0.007; UCEC=-0.009; UCS=-0.007"
"20.1","tissue/1b_11bin","Hepatobiliary+pancreas",3,0.0213118238366306,0.0174905955314202,0.0338226955305741,1,"CHOL,LIHC,PAAD","CHOL=0.026; LIHC=0.002; PAAD=0.036"
"20.1","tissue/1b_11bin","GI tract",3,-0.0360388065780355,0.027354562542683,0.0530006916417986,1,"CORE,ESCA,STAD","CORE=-0.059; ESCA=-0.006; STAD=-0.044"
"20.1","tissue/1b_11bin","Soft+heme+H&N",2,0.205115187468031,0.333244916936533,0.47127948112354,0.5,"DLBC,HNSC","DLBC=0.441; HNSC=-0.031"
"20.1","tissue/1b_11bin","Kidney",2,-0.0361267536472553,0.000383903370166253,0.000542921352729854,1,"KICH,KIRP","KICH=-0.036; KIRP=-0.036"
"20.1","tissue/1b_11bin","Lung+pleura",3,-0.012905134718814,0.00955588584310882,0.0167355203410003,1,"LUAD,LUSC,MESO","LUAD=-0.008; LUSC=-0.007; MESO=-0.024"
