"b","marginal_4cov_minus_3cov"
349,-0.672097304106273
350,0.59392364507994
351,0.658011002363764
352,2.87084469317006
353,-0.525753775971225
354,2.12641892574061
355,1.96029971655105
356,2.55254677877861
357,0.750427360641424
358,3.98664913956031
359,3.54769570800181
360,4.50810219921277
361,1.87020704921713
362,0.660061893640886
363,-0.0371769688567838
364,0.943557434325726
365,1.75909156438195
366,-0.683326545806267
367,0.951718377607449
368,0.0944322015095622
369,4.21424108052395
370,1.38210109903912
371,1.54836106064045
372,3.04819686050905
373,1.33469736267932
374,2.19352755655927
375,0.178215361153434
376,3.76772298461151
377,0.91051960105824
378,2.94195245042283
379,1.2400162853603
380,2.71985878300165
381,0.926533407857733
382,1.01074955320428
383,0.511649913772317
384,-0.821086912748115
385,4.21717516826789
386,1.36607548412258
387,2.95701667882543
388,2.12057009367061
389,1.62129170942694
390,0.725317928365712
391,-0.807250423275264
392,1.68326973513831
393,0.572145909049482
394,0.704294430237724
395,-0.547948992160059
396,0.339986764735158
397,1.37970631673511
398,2.17122025079425
399,4.21767049107189
400,-1.28948776447805
401,-3.04939811833924
402,-0.0745500046346024
403,3.08516759694453
404,1.30769142516533
405,-0.213721752946753
406,3.69225237861463
407,-1.95562301088989
408,-0.214722740566003
409,1.47589379896635
410,1.53841688675311
411,3.0998206094464
412,2.6668715619885
413,-0.950781660641496
414,1.88286818434449
415,2.03114206223131
416,1.74026115585116
417,0.85377093297609
418,1.87148994141944
419,3.38502730637583
420,0.557830734921026
421,0.63492058779093
422,1.51959286772023
423,0.847518348892891
424,3.36821659439192
425,2.65235851917078
426,1.19139837873854
427,2.07752710621776
428,2.3321196613108
429,1.54807083545927
430,1.11536117036371
431,0.841981922923424
432,2.24071379045711
433,1.20441079513034
434,1.58896647039694
435,0.878792455903522
436,2.75213779486035
437,0.761830933464807
438,0.619693294367266
439,-1.09654035384654
440,2.75897710113259
441,1.11812680664343
442,0.260896487521677
443,4.61091248436128
444,3.01681594987144
445,1.25217283017673
446,1.76244592634578
447,-0.113798379709351
448,0.736709161985118
449,2.12346704742572
450,1.24748782259826
451,2.92149815982418
452,-0.273142368391291
453,1.38902671042206
454,-1.51031718383729
455,1.50842364326195
456,2.99791138676824
457,-1.01524724529077
458,-1.00355820524373
459,3.53102574668446
460,4.15351057019643
461,2.08369109442492
462,2.07946178015209
463,-0.344682025818997
464,1.84747432889196
465,1.17478195492345
466,1.08250817658904
467,2.88977064573896
468,2.07177711878217
469,3.52156935314531
470,2.94172596785734
471,-0.578914724607785
472,4.02081143923078
473,0.642673740700729
474,2.15061693731263
475,0.505450608263914
476,2.00627357644191
477,-0.566537175346866
478,1.94316456136198
479,2.28349976316156
480,3.27404403410128
481,4.79540951390686
482,2.1417449750445
483,1.99445876308323
484,-1.33664795041614
485,-0.244172484921819
486,3.09878693221276
487,2.81672265307031
488,1.85500489626997
489,4.44133022280357
490,1.26855165122151
491,-0.807656099488213
492,1.83053808328077
493,0.334607489909217
494,3.35708048414995
495,2.08927603503776
496,1.12378926762381
497,-0.306764664145362
498,-0.894071742050755
499,0.790707906493253
500,-0.266713620366545
501,1.8938352232035
502,0.683401979290466
503,0.315011072809739
504,2.50246905704989
505,-0.00542603487167526
506,2.44577510868953
507,1.74602750972929
508,1.93536857257789
509,1.37267762234819
510,1.54348757253558
511,0.9802601192265
512,0.875192509680346
513,2.40704075722715
514,1.37323924749455
515,3.58349710224525
516,2.99460996077084
517,4.3995388452397
518,0.289166994975403
519,1.24723227487482
520,-0.835918785977924
521,2.61724306489748
522,1.90170013307875
523,2.30018721156216
524,4.52026034751157
525,-0.932388966453573
526,0.301465598614186
527,2.95188079774812
528,-0.23261003495918
529,0.840664578693122
530,0.827632617535528
531,0.377662894002242
532,1.32384697594034
533,-2.28845766352651
534,-0.513243840532709
535,1.44038001924514
536,-1.19976193400043
537,-1.92046465330395
538,2.42379612299965
539,0.436069587092561
540,0.339065415788582
541,0.782404631441977
542,1.2606512329827
543,0.322550202634147
544,1.77314447279252
545,4.32491006492114
546,-1.37299865775833
547,2.28295435910331
548,0.294136807092514
549,0.217542185399338
550,2.55997421796451
551,1.87706882134751
552,1.7184616258744
553,0.727520658867888
554,3.04727592822474
555,0.28893781902741
556,0.0858817309758706
557,2.24953869281353
558,2.05205346472394
559,3.39726699029325
560,1.24438081399194
561,4.39553654226438
562,-0.501718428867321
563,1.82525412595373
564,1.10638832565792
565,2.70107523797833
566,3.02097912565227
567,0.209017784361549
568,1.49197612960791
569,1.12470819914358
570,-0.954279567101594
571,3.83878931934646
572,0.593262790749122
573,2.29794005390772
574,2.18995332685904
575,1.84963302036863
576,-1.57306281277897
577,0.811093394265072
578,3.07699024145745
579,0.964878650809169
580,1.12852867929632
581,1.993595121044
582,1.87344596353955
583,3.29653254537766
584,1.68467806249555
585,1.46894689462033
586,0.936133756315371
587,-0.633017956502727
588,1.07571043862458
589,1.37963291043457
590,-0.664161748114566
591,2.28030031110984
592,0.81889960237072
593,1.72470492758202
594,-0.425318311291562
595,-0.0634601166864286
596,2.1754930585904
597,-0.319346201587678
598,-0.5400622458003
599,2.30741492770903
600,1.2221779992301
601,1.25518900479256
602,1.17068879706039
603,1.63931989981734
604,1.24522422410303
605,-0.622448678006322
606,2.21685663998369
607,2.13203859019495
608,0.871174847546285
609,2.06462250248967
610,2.7848708105746
611,1.7570225860436
612,2.7350221831266
613,4.89092968823638
614,2.56852328671903
615,2.88685345780277
616,3.46391558844653
617,4.03190374114115
618,0.395520743909401
619,0.833689691233531
620,3.53762143033714
621,-1.85560536623484
622,1.30122255402102
623,1.30317788198931
624,1.50965660294537
625,2.64705334240682
626,-0.258759831000361
627,2.61101632318082
628,0.745157959665676
629,0.720545505038899
630,1.32666404410736
631,0.102220607327354
632,2.90891836994547
633,4.64103623543929
634,1.5021571515399
635,1.36986000386912
636,0.431865662553491
637,3.81941826701222
638,0.30733474358226
639,0.898129709004365
640,1.17703930131836
641,0.111461112448069
642,2.82861411705358
643,3.07350880025001
644,-0.405978177469024
645,1.16151112032185
646,1.09144586982779
647,2.74398360200678
648,4.21485315964833
649,2.40629884880764
650,-0.0675053776865298
651,0.0237087590584224
652,0.158862401342731
653,-0.329992512738499
654,0.463020646540826
655,2.59729947684968
656,1.40011702608058
657,4.14782746683841
658,1.49723945363485
659,1.78961072061941
660,1.83458661506438
661,1.60056780017294
662,-0.99241423683111
663,0.0833191656872714
664,3.44460373817515
665,1.1388325572218
666,1.06419786195772
667,5.62546014800387
668,1.50305597396937
669,1.5449947786085
670,1.40014251735624
671,0.143055304170048
672,-1.48960003961827
673,-1.4363698490813
674,1.25353882826312
675,2.46595759665979
676,3.4272831565147
677,1.35476106055341
678,-0.0886954941705653
679,0.747498156347774
680,2.71584646052281
681,2.75298630569523
682,3.74965579622335
683,1.56401875074573
684,1.31063398780179
685,2.19659242475984
686,0.782097692879233
687,1.25844533154191
688,2.66375041005585
689,3.78680146394038
690,0.617131911104252
691,0.522446168400393
692,-0.524317299933955
693,2.54742176367563
694,2.16767385097148
695,1.01221501749137
696,2.71977572506421
697,2.31932682898832
698,1.83871613730128
699,1.87626648529374
700,0.0724327481174214
701,1.44218796614314
702,1.00032568819756
703,0.56266422632666
704,0.423888764856542
705,3.2392518407504
706,2.27616107637868
707,-0.0302505744045902
708,2.17426198225985
709,1.30682576970764
710,1.24118476414048
711,3.39454439950271
712,0.795414083448236
713,4.38624671041111
714,2.37573414281223
715,2.94325593986389
716,1.69721103384154
717,4.30420183370688
718,1.60721971202179
719,1.76639095526048
720,-0.279387487781946
721,4.9274642539151
722,1.16038549788641
723,-1.83235642779596
724,2.68271741720139
725,-0.972753304997468
726,0.878489988242904
727,2.07889657237638
728,1.09358281552989
729,0.58784058961885
730,-0.317866782244209
731,2.06507653127915
732,3.63298435744582
733,1.18544625785296
734,0.79970306578582
735,0.674828436180633
736,0.852914594579715
737,1.49177365815228
738,2.36052867334638
739,0.953416715098456
740,2.80456665918371
741,0.567058120079423
742,2.56605454923761
743,1.54282827783231
744,-1.07671272596713
745,-0.558600373609124
746,-2.71630614882815
747,3.02313758590162
748,3.79328075579792
749,0.96905348626774
750,1.74976577869938
751,-0.0884014296342457
752,1.05971007830487
753,3.57652838523313
754,1.84871327565907
755,3.78458048757227
756,1.17292093715423
757,2.1143078553514
758,2.59283945887933
759,2.55821578407608
760,-0.804276611857631
761,-1.46478254571298
762,0.670053595260242
763,-1.20038119370975
764,-0.242624795611732
765,-1.21008622894556
766,3.10993169761218
767,1.66620245306694
768,3.06018394369266
769,-1.6637625605174
770,-1.3589638602532
771,1.71533714115799
772,1.73245879578781
773,1.10969610431448
774,3.5754408602254
775,0.670621473128222
776,2.6530764602071
777,0.447897933970125
778,-0.986791579768351
779,0.824294132370142
780,3.11161725055854
781,-1.76036005528431
782,2.8261574411016
783,1.7054883633931
784,1.16331050221652
785,2.09253484041028
786,1.18691635595883
787,2.35312167175107
788,1.82834116033632
789,0.011583907052227
790,3.34025148937349
791,2.84967615167943
792,-0.922722820902891
793,1.74541344828617
794,1.93684792814179
795,0.0257003572661461
796,-1.00622916263706
797,1.65759272187813
798,2.74968652862049
799,2.5367950964777
800,0.618885035812355
801,0.214280026545566
802,5.30097579306289
803,1.28314845949762
804,0.83600248167204
805,2.19409129867847
806,2.98477352034206
807,-0.576033618956671
808,-1.2795690805201
809,0.9409333306387
810,3.40139736052618
811,-0.715875943269566
812,1.93142883707367
813,1.53969020823195
814,1.7429968744575
815,-0.20549326151945
816,0.849685336868333
817,-0.692481501814655
818,0.672902961177897
819,0.50695672945244
820,0.479367840013197
821,2.0411984122843
822,1.33686443420754
823,1.99858572350536
824,-0.580839561999937
825,5.71656935024703
826,6.2782157896288
827,0.906012799322525
828,0.985705547219482
829,4.79494810808592
830,1.7227934857566
831,1.23852931217107
832,-0.159511329106635
833,2.96581350614622
834,1.83478279577366
835,1.58119510054826
836,1.10824324123462
837,1.45614427048883
838,0.44276709192377
839,1.93074848527021
840,4.09737647806878
841,2.5415285767674
842,0.695381499169571
843,1.76080016612605
844,0.226423294947381
845,1.80859212983182
846,2.89907400207858
847,1.91140302173233
848,-0.121189990212315
849,-0.165792571124712
850,1.96276673505508
851,1.40980246977074
852,0.29614197745002
853,2.95731058188653
854,-0.137109052541518
855,2.53650478513646
856,-0.483053335261502
857,3.11282781993611
858,2.19492356661431
859,1.77650597378693
860,0.349648270750322
861,1.4568145259243
862,3.19963689516976
863,0.295963161521058
864,-0.697942906271351
865,1.73626357500314
866,-1.05689932650102
867,1.35672916717476
868,4.68604145035874
869,-1.03973805604755
870,1.19816577649658
871,2.26351480424375
872,0.185627173677972
873,-1.21598754733486
874,-1.07593321339823
