cov_id,hierarchy,granularity,n_cancers_used,eta_obs,eta_perm_median,eta_perm_p95,p_empirical,B
44.1,epithelial_class,2b_6bin,5,0.9148590933234002,0.13475140021091192,0.9148590933234002,0.168,1000
44.1,epithelial_class,2c_10bin,5,0.9148590933234002,0.13475140021091192,0.9148590933234002,0.169,1000
44.1,germ_layer,3a_3bin,2,,,,,0
44.1,germ_layer,3b_mid,2,,,,,0
44.1,hoadley,5a_4plus_unassigned,2,,,,,0
44.1,sex_composition,4_4bin,5,0.0093367285225183,0.1347514002109118,0.9148590933234002,0.789,1000
44.1,tissue_origin,1a_5bin,5,1.0,1.0,1.0000000000000002,0.975,1000
44.1,tissue_origin,1b_11bin,5,1.0,1.0,1.0000000000000002,0.961,1000
45.1,epithelial_class,2a_3bin,1,,,,,0
45.1,epithelial_class,2b_6bin,1,,,,,0
45.1,epithelial_class,2c_10bin,1,,,,,0
45.1,hoadley,5a_4plus_unassigned,1,,,,,0
45.1,hoadley,5c_iclusters,1,,,,,0
45.1,sex_composition,4_4bin,1,,,,,0
45.1,tissue_origin,1a_5bin,1,,,,,0
45.1,tissue_origin,1b_11bin,1,,,,,0
45.2,epithelial_class,2a_3bin,1,,,,,0
45.2,epithelial_class,2b_6bin,1,,,,,0
45.2,epithelial_class,2c_10bin,1,,,,,0
45.2,hoadley,5a_4plus_unassigned,1,,,,,0
45.2,hoadley,5c_iclusters,1,,,,,0
45.2,sex_composition,4_4bin,1,,,,,0
45.2,tissue_origin,1a_5bin,1,,,,,0
45.2,tissue_origin,1b_11bin,1,,,,,0
46.1,epithelial_class,2a_3bin,4,0.0993477038346693,0.4344104085306682,0.7925085686624248,0.758,1000
46.1,epithelial_class,2b_6bin,4,0.0998439006542983,0.756286069689757,0.9556489011417504,1.0,1000
46.1,epithelial_class,2c_10bin,4,0.0998439006542983,0.7928915854079484,0.9556489011417504,1.0,1000
46.1,germ_layer,3a_3bin,5,,,,,0
