block,hierarchy,granularity,n_cancers_with_block,n_cancers_in_test,block_presence_eta,avg_pip_screening_eta,n_covs_in_block
11,tissue_origin,1b_11bin,4,29,0.6133333333333334,0.7035548300578613,1
12,epithelial_class,2a_3bin,1,27,0.16923076923076924,,0
12,epithelial_class,2b_6bin,1,27,1.0000000000000002,,0
12,epithelial_class,2c_10bin,1,27,1.0,,0
12,germ_layer,3a_3bin,1,22,0.3015873015873015,,0
12,germ_layer,3b_mid,1,22,0.9999999999999997,,0
12,hoadley,5a_4plus_unassigned,1,24,,,0
12,hoadley,5c_iclusters,1,16,,,0
12,sex_composition,4_4bin,1,29,0.011363636363636359,,0
12,tissue_origin,1a_5bin,1,29,0.17142857142857137,,0
12,tissue_origin,1b_11bin,1,29,1.0000000000000002,,0
13,epithelial_class,2a_3bin,8,27,0.028947368421052628,0.2191693061453888,1
13,epithelial_class,2b_6bin,8,27,0.6151315789473683,0.3356371215491661,1
13,epithelial_class,2c_10bin,8,27,0.7335526315789472,0.3356371215491661,1
13,germ_layer,3a_3bin,8,22,0.19189542483660132,0.2880851462568811,1
13,germ_layer,3b_mid,8,22,0.5147058823529413,0.702187482636312,1
13,hoadley,5a_4plus_unassigned,8,24,0.5141700404858299,0.2992708071037632,1
13,hoadley,5c_iclusters,8,16,1.0,,0
13,sex_composition,4_4bin,8,29,0.04667207792207791,0.1399455525273769,1
13,tissue_origin,1a_5bin,8,29,0.13638167388167388,0.2197807886844482,1
13,tissue_origin,1b_11bin,8,29,0.5252976190476191,0.4478643990960914,1
14,epithelial_class,2a_3bin,3,27,0.035714285714285705,,0
14,epithelial_class,2b_6bin,3,27,0.3571428571428571,,0
14,epithelial_class,2c_10bin,3,27,1.0,,0
14,germ_layer,3a_3bin,3,22,0.18947368421052632,,0
14,germ_layer,3b_mid,3,22,0.5368421052631581,,0
14,hoadley,5a_4plus_unassigned,3,24,0.6483516483516484,0.1186669368229221,1
14,hoadley,5c_iclusters,3,16,0.7948717948717948,0.118666936822922,1
14,sex_composition,4_4bin,3,29,0.03671328671328671,,0
14,tissue_origin,1a_5bin,3,29,0.1888111888111888,,0
14,tissue_origin,1b_11bin,3,29,1.0000000000000002,,0
15,epithelial_class,2a_3bin,15,27,0.05902668759811615,0.1230947225914336,1
15,epithelial_class,2b_6bin,15,27,0.3659733124018838,0.3139644676057657,1
15,epithelial_class,2c_10bin,15,27,0.46964285714285714,0.3826457677700033,1
15,germ_layer,3a_3bin,15,22,0.19772079772079773,0.0984547061782948,1
15,germ_layer,3b_mid,15,22,0.4985754985754986,0.0984547061782948,1
15,hoadley,5a_4plus_unassigned,15,24,0.25106837606837606,0.4761237475207879,1
15,hoadley,5c_iclusters,15,16,1.0,1.0,1
15,sex_composition,4_4bin,15,29,0.16201298701298697,0.1064515777856945,1
15,tissue_origin,1a_5bin,15,29,0.20658008658008656,0.1464746561456189,1
15,tissue_origin,1b_11bin,15,29,0.5281746031746032,0.4069995303754812,1
16,epithelial_class,2a_3bin,1,27,0.01098901098901099,,0
16,epithelial_class,2b_6bin,1,27,0.04807692307692307,,0
16,epithelial_class,2c_10bin,1,27,0.48076923076923084,,0
16,germ_layer,3a_3bin,1,22,0.05714285714285713,,0
16,germ_layer,3b_mid,1,22,0.3015873015873014,,0
16,hoadley,5a_4plus_unassigned,1,24,0.30434782608695626,,0
16,hoadley,5c_iclusters,1,16,1.0,,0
16,sex_composition,4_4bin,1,29,0.22321428571428562,,0
16,tissue_origin,1a_5bin,1,29,0.05844155844155841,,0
16,tissue_origin,1b_11bin,1,29,0.22321428571428564,,0
17,epithelial_class,2a_3bin,5,27,0.07428571428571427,0.002641586554334,1
17,epithelial_class,2b_6bin,5,27,0.30162337662337657,0.5329368795585316,1
17,epithelial_class,2c_10bin,5,27,0.7054545454545454,0.3307168987133763,1
17,germ_layer,3a_3bin,5,22,0.14444444444444446,,0
17,germ_layer,3b_mid,5,22,0.24375000000000002,,0
17,hoadley,5a_4plus_unassigned,5,24,0.1208791208791209,,0
17,hoadley,5c_iclusters,5,16,1.0,,0
17,sex_composition,4_4bin,5,29,0.08825757575757574,0.3714903782982482,1
17,tissue_origin,1a_5bin,5,29,0.028573232323232323,0.4716922291487657,1
17,tissue_origin,1b_11bin,5,29,0.4965277777777778,0.4716922291487657,1
18,epithelial_class,2a_3bin,1,27,0.01098901098901099,,0
18,epithelial_class,2b_6bin,1,27,0.04807692307692307,,0
18,epithelial_class,2c_10bin,1,27,0.09134615384615385,,0
18,germ_layer,3a_3bin,1,22,,,0
18,germ_layer,3b_mid,1,22,,,0
18,hoadley,5a_4plus_unassigned,1,24,0.036789297658862866,,0
18,hoadley,5c_iclusters,1,16,1.0,,0
18,sex_composition,4_4bin,1,29,0.48214285714285704,,0
18,tissue_origin,1a_5bin,1,29,0.05844155844155841,,0
18,tissue_origin,1b_11bin,1,29,0.3095238095238093,,0
19,epithelial_class,2a_3bin,1,27,0.01098901098901099,,0
19,epithelial_class,2b_6bin,1,27,0.04807692307692307,,0
19,epithelial_class,2c_10bin,1,27,0.09134615384615385,,0
19,germ_layer,3a_3bin,1,22,,,0
19,germ_layer,3b_mid,1,22,,,0
19,hoadley,5a_4plus_unassigned,1,24,0.036789297658862866,,0
19,hoadley,5c_iclusters,1,16,1.0,,0
19,sex_composition,4_4bin,1,29,0.48214285714285704,,0
19,tissue_origin,1a_5bin,1,29,0.05844155844155841,,0
19,tissue_origin,1b_11bin,1,29,0.3095238095238093,,0
20,epithelial_class,2a_3bin,20,27,0.2317460317460317,0.2759554841394969,1
20,epithelial_class,2b_6bin,20,27,0.255952380952381,0.3899006556774128,1
20,epithelial_class,2c_10bin,20,27,0.37638888888888894,0.5558349623521222,1
20,germ_layer,3a_3bin,20,22,0.42962962962962964,0.0207421185586207,1
20,germ_layer,3b_mid,20,22,0.6161458333333334,0.8134336371998994,1
20,hoadley,5a_4plus_unassigned,20,24,0.1441499676793794,0.1150406007544314,1
20,hoadley,5c_iclusters,20,16,0.873015873015873,0.9728240218443384,1
20,sex_composition,4_4bin,20,29,0.15050505050505047,0.0924697664102893,1
20,tissue_origin,1a_5bin,20,29,0.3343181818181818,0.2194521427691568,1
20,tissue_origin,1b_11bin,20,29,0.5569444444444445,0.5205287612274959,1
21,epithelial_class,2a_3bin,2,27,0.05371428571428571,,0
21,epithelial_class,2b_6bin,2,27,0.26714285714285707,,0
21,epithelial_class,2c_10bin,2,27,0.35200000000000004,,0
21,germ_layer,3a_3bin,2,22,,,0
21,germ_layer,3b_mid,2,22,,,0
21,hoadley,5a_4plus_unassigned,2,24,0.03678929765886287,,0
21,hoadley,5c_iclusters,2,16,,,0
21,sex_composition,4_4bin,2,29,0.21885521885521877,,0
21,tissue_origin,1a_5bin,2,29,0.10900673400673402,,0
21,tissue_origin,1b_11bin,2,29,0.23919753086419757,,0
22,epithelial_class,2a_3bin,12,27,0.056168831168831174,0.0511227255816253,1
22,epithelial_class,2b_6bin,12,27,0.382711038961039,0.2859880698082129,1
22,epithelial_class,2c_10bin,12,27,0.5857954545454547,0.8316844671552903,1
22,germ_layer,3a_3bin,12,22,0.2075925925925926,0.184408208864983,1
22,germ_layer,3b_mid,12,22,0.36444444444444457,0.5946635954763213,1
22,hoadley,5a_4plus_unassigned,12,24,0.22001075847229692,0.4351289996717776,1
22,hoadley,5c_iclusters,12,16,1.0,0.6859906524390176,1
22,sex_composition,4_4bin,12,29,0.2181372549019608,0.1437575956610015,1
22,tissue_origin,1a_5bin,12,29,0.07662655971479501,0.3582613096897477,1
22,tissue_origin,1b_11bin,12,29,0.6090686274509803,0.8449217724310111,1
23,epithelial_class,2a_3bin,7,27,0.11102040816326532,0.0513101367314653,1
23,epithelial_class,2b_6bin,7,27,0.07933673469387754,0.2683689818179909,1
23,epithelial_class,2c_10bin,7,27,0.2623214285714286,0.3222435661697778,1
23,germ_layer,3a_3bin,7,22,0.28449074074074066,0.0307233086470163,1
23,germ_layer,3b_mid,7,22,0.5416666666666665,0.5775784253405553,1
23,hoadley,5a_4plus_unassigned,7,24,0.6239316239316239,0.1358414524424286,1
23,hoadley,5c_iclusters,7,16,1.0,,0
23,sex_composition,4_4bin,7,29,0.08412042502951596,0.0212393718616224,1
23,tissue_origin,1a_5bin,7,29,0.521231798504526,0.0513101367314653,1
23,tissue_origin,1b_11bin,7,29,0.6233766233766236,0.3239075663101806,1
24,epithelial_class,2a_3bin,19,27,0.06823529411764705,0.0014020027568165,1
24,epithelial_class,2b_6bin,19,27,0.19075630252100836,0.2627407275267159,1
24,epithelial_class,2c_10bin,19,27,0.31308823529411767,0.4426445104678512,1
24,germ_layer,3a_3bin,19,22,0.12407407407407409,0.1558826161578248,1
24,germ_layer,3b_mid,19,22,0.38888888888888884,0.2519997024081853,1
24,hoadley,5a_4plus_unassigned,19,24,0.1557853910795087,0.4519096945334052,1
24,hoadley,5c_iclusters,19,16,1.0,0.4617427512993667,1
24,sex_composition,4_4bin,19,29,0.1050239234449761,0.0072513458022904,1
24,tissue_origin,1a_5bin,19,29,0.1970653907496013,0.1964676849581787,1
24,tissue_origin,1b_11bin,19,29,0.4403508771929825,0.4120093059922613,1
25,epithelial_class,2a_3bin,4,27,0.04968944099378881,,0
25,epithelial_class,2b_6bin,4,27,0.11956521739130432,0.8573828473568834,1
25,epithelial_class,2c_10bin,4,27,0.22961956521739124,0.8573828473568834,1
25,germ_layer,3a_3bin,4,22,0.32098765432098775,,0
25,germ_layer,3b_mid,4,22,0.4270833333333334,0.2240013542580168,1
25,hoadley,5a_4plus_unassigned,4,24,0.7142857142857143,,0
25,hoadley,5c_iclusters,4,16,1.0,,0
25,sex_composition,4_4bin,4,29,0.050909090909090904,,0
25,tissue_origin,1a_5bin,4,29,0.6133333333333333,,0
25,tissue_origin,1b_11bin,4,29,0.8066666666666666,0.0022157216044412,1
26,epithelial_class,2a_3bin,6,27,0.012244897959183668,0.8734661872536472,1
26,epithelial_class,2b_6bin,6,27,0.8163265306122448,0.9566657740099604,1
26,epithelial_class,2c_10bin,6,27,0.8285714285714285,0.9566657740099604,1
26,germ_layer,3a_3bin,6,22,0.14230019493177384,0.9873086497923822,1
26,germ_layer,3b_mid,6,22,0.22807017543859653,0.9873086497923822,1
26,hoadley,5a_4plus_unassigned,6,24,0.6483516483516484,0.9739777810821336,1
26,hoadley,5c_iclusters,6,16,1.0,,0
26,sex_composition,4_4bin,6,29,0.030467720685111995,0.0163761723033943,1
26,tissue_origin,1a_5bin,6,29,0.08873517786561265,0.4433952397234623,1
26,tissue_origin,1b_11bin,6,29,0.2820048309178744,1.0,1
27,epithelial_class,2a_3bin,2,27,0.053714285714285714,,0
27,epithelial_class,2b_6bin,2,27,0.5371428571428571,,0
27,epithelial_class,2c_10bin,2,27,0.568,,0
27,germ_layer,3a_3bin,2,22,0.30158730158730146,,0
27,germ_layer,3b_mid,2,22,0.4761904761904759,,0
27,hoadley,5a_4plus_unassigned,2,24,0.036789297658862866,,0
27,hoadley,5c_iclusters,2,16,1.0,,0
27,sex_composition,4_4bin,2,29,0.023569023569023573,,0
27,tissue_origin,1a_5bin,2,29,0.10900673400673401,,0
27,tissue_origin,1b_11bin,2,29,0.23919753086419757,,0
28,epithelial_class,2a_3bin,4,27,0.04968944099378881,,0
28,epithelial_class,2b_6bin,4,27,0.11956521739130432,0.1725921579710415,1
28,epithelial_class,2c_10bin,4,27,0.22961956521739124,0.1725921579710415,1
28,germ_layer,3a_3bin,4,22,0.32098765432098775,,0
28,germ_layer,3b_mid,4,22,0.4270833333333334,0.0329496432462824,1
28,hoadley,5a_4plus_unassigned,4,24,0.7142857142857143,,0
28,hoadley,5c_iclusters,4,16,1.0,,0
28,sex_composition,4_4bin,4,29,0.050909090909090904,,0
28,tissue_origin,1a_5bin,4,29,0.6133333333333333,,0
28,tissue_origin,1b_11bin,4,29,0.8066666666666666,0.390380698372514,1
29,epithelial_class,2a_3bin,2,27,0.022857142857142854,,0
29,epithelial_class,2b_6bin,2,27,0.09999999999999995,,0
29,epithelial_class,2c_10bin,2,27,0.25749999999999995,,0
29,germ_layer,3a_3bin,2,22,0.016111111111111114,,0
29,germ_layer,3b_mid,2,22,0.56,,0
29,hoadley,5a_4plus_unassigned,2,24,0.22727272727272735,,0
29,hoadley,5c_iclusters,2,16,1.0,,0
29,sex_composition,4_4bin,2,29,0.08459595959595961,,0
29,tissue_origin,1a_5bin,2,29,0.0642536475869809,,0
29,tissue_origin,1b_11bin,2,29,0.23919753086419754,,0
30,epithelial_class,2a_3bin,1,27,0.01098901098901099,,0
30,epithelial_class,2b_6bin,1,27,0.04807692307692307,,0
30,epithelial_class,2c_10bin,1,27,0.09134615384615385,,0
30,germ_layer,3a_3bin,1,22,,,0
30,germ_layer,3b_mid,1,22,,,0
30,hoadley,5a_4plus_unassigned,1,24,0.30434782608695626,,0
30,hoadley,5c_iclusters,1,16,1.0,,0
30,sex_composition,4_4bin,1,29,1.0,,0
30,tissue_origin,1a_5bin,1,29,0.05844155844155841,,0
30,tissue_origin,1b_11bin,1,29,0.9999999999999999,,0
31,epithelial_class,2a_3bin,8,27,0.12030075187969924,,0
31,epithelial_class,2b_6bin,8,27,0.15202067669172936,0.8331412442655625,1
31,epithelial_class,2c_10bin,8,27,0.25986842105263164,0.8331549221410579,1
31,germ_layer,3a_3bin,8,22,0.06823529411764706,0.4055351960095184,1
31,germ_layer,3b_mid,8,22,0.1350980392156863,0.9939694914504548,1
31,hoadley,5a_4plus_unassigned,8,24,0.32331730769230765,0.8379998549702439,1
31,hoadley,5c_iclusters,8,16,0.8545454545454545,1.0,1
31,sex_composition,4_4bin,8,29,0.11728896103896105,0.1480349847314949,1
31,tissue_origin,1a_5bin,8,29,0.16358225108225108,0.2535396270570457,1
31,tissue_origin,1b_11bin,8,29,0.29513888888888884,0.9999411164778144,1
32,epithelial_class,2a_3bin,3,27,0.02285714285714285,,0
32,epithelial_class,2b_6bin,3,27,0.09999999999999996,,0
32,epithelial_class,2c_10bin,3,27,0.12249999999999998,,0
32,germ_layer,3a_3bin,3,22,0.05224171539961015,0.1646213227149761,1
32,germ_layer,3b_mid,3,22,0.16374269005847952,0.1646213227149761,1
32,hoadley,5a_4plus_unassigned,3,24,0.16483516483516483,0.9888448416576572,1
32,hoadley,5c_iclusters,3,16,1.0,,0
32,sex_composition,4_4bin,3,29,0.03671328671328671,,0
32,tissue_origin,1a_5bin,3,29,1.0000000000000002,,0
32,tissue_origin,1b_11bin,3,29,1.0000000000000002,,0
33,epithelial_class,2a_3bin,3,27,0.02285714285714285,,0
33,epithelial_class,2b_6bin,3,27,0.09999999999999995,,0
33,epithelial_class,2c_10bin,3,27,1.0,,0
33,germ_layer,3a_3bin,3,22,0.18947368421052635,,0
33,germ_layer,3b_mid,3,22,0.43391812865497076,0.0076411812033116,1
33,hoadley,5a_4plus_unassigned,3,24,0.3943833943833943,0.8215922409646458,1
33,hoadley,5c_iclusters,3,16,1.0,,0
33,sex_composition,4_4bin,3,29,0.7211538461538463,,0
33,tissue_origin,1a_5bin,3,29,0.1888111888111888,,0
33,tissue_origin,1b_11bin,3,29,0.721153846153846,,0
34,epithelial_class,2a_3bin,14,27,0.13714285714285718,0.0483842804121867,1
34,epithelial_class,2b_6bin,14,27,0.16071428571428567,0.2345062042767289,1
34,epithelial_class,2c_10bin,14,27,0.48249999999999993,0.2513250528955499,1
34,germ_layer,3a_3bin,14,22,0.19333333333333338,0.1166179798996297,1
34,germ_layer,3b_mid,14,22,0.43625,0.1792192558751773,1
34,hoadley,5a_4plus_unassigned,14,24,0.37606837606837606,0.392078247070813,1
34,hoadley,5c_iclusters,14,16,0.875,1.0,1
34,sex_composition,4_4bin,14,29,0.24675324675324675,0.0588015469836855,1
34,tissue_origin,1a_5bin,14,29,0.2848340548340549,0.1507972323119848,1
34,tissue_origin,1b_11bin,14,29,0.6777777777777779,0.4419154734149063,1
35,epithelial_class,2a_3bin,4,27,0.010559006211180125,0.0019971853463384,1
35,epithelial_class,2b_6bin,4,27,0.08812111801242234,0.0019971853463384,1
35,epithelial_class,2c_10bin,4,27,0.5084239130434782,1.0,1
35,germ_layer,3a_3bin,4,22,0.04598765432098766,0.0030597921674995,1
35,germ_layer,3b_mid,4,22,0.1444444444444445,0.0030597921674995,1
35,hoadley,5a_4plus_unassigned,4,24,0.08269230769230769,0.6638606076298057,1
